id,name,project_type,state,district,latitude,longitude,land_area_ha,affected_families,start_date,target_end_date,current_stage,status,data_source,delay_probability,risk_category,days_in_current_stage,stage_overdue_days,pct_stages_completed,compensation_paid_pct,avg_compensation_pending_days,num_disputed_claims,legal_dispute_flag,num_active_legal_cases,has_court_stay,doc_complete_pct,approval_pending_days,num_approvals_pending,sia_approved,env_clearance_obtained,rehab_progress_pct,stakeholder_response_days,notification_delay_days,possession_completion_pct,district_historical_delay_rate
23,"Urban Infra 23 (Rajkot, Gujarat)",Urban Infrastructure,Gujarat,Rajkot,22.983499,68.545659,230.08,2774,2021-05-11,2024-10-04,SIA Initiated,Completed,SYNTHETIC_DEMO,0.2276,low,0,0,0,0,97,18,True,4,False,0.5514,10,7,False,True,0.5394,49,14,0,0.4251
24,"Metro Rail 24 (Bengaluru Rural, Karnataka)",Metro Rail,Karnataka,Bengaluru Rural,12.834907,76.131025,88.06,4984,2020-08-15,2022-04-06,Objection Hearing,Planning,SYNTHETIC_DEMO,0.5364,medium,607,244,0.4646,0.39,29,0,False,0,False,0.8667,20,4,True,True,0.0257,44,36,0,0.4387
25,"Metro 25 (Yadadri Bhuvanagiri, Telangana)",Metro Rail,Telangana,Yadadri Bhuvanagiri,18.00897,77.458556,176.87,3519,2023-10-29,2026-07-07,SIA Approved,Cancelled,SYNTHETIC_DEMO,0.3072,low,730,381,0.1451,0.1068,94,0,False,0,False,0.4414,82,5,True,True,0.4201,67,6,0,0.3168
26,"PMGSY 26 (Sikar, Rajasthan)",Rural Road,Rajasthan,Sikar,26.652227,75.354117,413.74,4863,2021-05-06,2025-10-18,Notification u/s 11,Completed,SYNTHETIC_DEMO,0.2528,low,0,0,0.3116,0.2685,68,0,False,0,False,0.5934,31,1,True,True,0.4508,64,36,0,0.4052
27,"NH 27 (Sangareddy, Telangana)",National Highway,Telangana,Sangareddy,16.348479,80.590246,260.73,1575,2020-05-15,2023-04-12,Rehabilitation,On Hold,SYNTHETIC_DEMO,0.2046,low,316,115,0.9511,0.8658,61,0,False,0,False,0.832,62,8,True,False,0.6906,87,45,0.4908,0.4965
28,"Metro Rail 28 (Raigad, Maharashtra)",Metro Rail,Maharashtra,Raigad,19.280111,76.286084,139.1,2069,2020-05-21,2024-05-12,Possession Handover,In Progress,SYNTHETIC_DEMO,0.3919,low,382,143,0.7351,0.6791,30,0,False,0,False,0.8328,40,1,True,False,0.9509,28,12,0.2164,0.3421
29,"Metro 29 (Coimbatore, Tamil Nadu)",Metro Rail,Tamil Nadu,Coimbatore,9.662472,79.186083,320.75,4031,2023-05-22,2025-02-04,Award Declaration,In Progress,SYNTHETIC_DEMO,0.3583,low,310,104,0.4091,0.2931,3,0,False,0,False,0.7444,60,7,True,True,0.1844,11,16,0,0.5705
30,"State Highway 30 (Visakhapatnam, Andhra Pradesh)",State Highway,Andhra Pradesh,Visakhapatnam,16.90612,76.928873,305.13,1858,2022-05-31,2024-03-31,Possession Handover,Completed,SYNTHETIC_DEMO,0.3222,low,0,0,0.8122,0.7998,133,25,True,4,True,0.9451,38,9,True,False,0.3054,84,3,0.6096,0.47
31,"Metro 31 (Baghpat, Uttar Pradesh)",Metro Rail,Uttar Pradesh,Baghpat,25.129788,77.562987,147.61,2326,2023-03-24,2024-03-28,Award Declaration,Planning,SYNTHETIC_DEMO,0.2971,low,448,89,0.4901,0.4304,116,0,False,0,False,0.4427,29,4,True,False,0.6251,89,51,0,0.5668
32,"City Infra 32 (Rangareddy, Telangana)",Urban Infrastructure,Telangana,Rangareddy,18.806525,77.321344,66.56,2501,2022-12-01,2024-11-04,Objection Hearing,In Progress,SYNTHETIC_DEMO,0.6225,medium,344,0,0.394,0.3732,103,0,False,0,False,0.9656,64,8,True,True,0.0804,10,56,0,0.316
33,"Expressway 33 (Dausa, Rajasthan)",Expressway,Rajasthan,Dausa,27.720089,77.244652,382.74,1445,2022-02-21,2026-06-07,SIA Initiated,Planning,SYNTHETIC_DEMO,0.1187,low,51,0,0.0999,0.0901,132,0,False,0,False,0.7909,117,4,False,True,0.5853,86,52,0,0.3459
34,"Industrial Corridor 34 (Pune, Maharashtra)",Industrial Corridor,Maharashtra,Pune,16.179899,73.786599,230.14,2586,2023-11-21,2027-03-13,Possession Handover,On Hold,SYNTHETIC_DEMO,0.3963,low,537,293,0.7076,0.696,82,0,False,0,False,0.4696,98,6,True,False,0.8249,5,42,0.8694,0.331
35,"City Infra 35 (Bengaluru Urban, Karnataka)",Urban Infrastructure,Karnataka,Bengaluru Urban,14.188931,77.419957,65.11,4997,2021-07-06,2023-08-26,Compensation Disbursement,Cancelled,SYNTHETIC_DEMO,0.6769,medium,303,62,0.6348,0.6211,40,0,False,0,False,0.5865,1,8,True,True,0.2247,19,29,0,0.5735
36,"Expressway 36 (Vadodara, Gujarat)",Expressway,Gujarat,Vadodara,22.171248,71.069429,432.69,2273,2022-03-16,2025-10-06,Completed,On Hold,SYNTHETIC_DEMO,0.0246,low,594,308,0.9289,0.7034,87,0,False,0,False,0.9605,64,4,True,False,0.2828,43,53,0.5869,0.5995
37,"Rural Road 37 (Vizianagaram, Andhra Pradesh)",Rural Road,Andhra Pradesh,Vizianagaram,16.363422,80.847441,288.04,1923,2023-04-25,2026-11-12,Completed,Completed,SYNTHETIC_DEMO,0.01,low,0,0,1,0.9609,105,0,False,0,False,0.4262,95,7,True,False,0.8114,54,42,0.7924,0.426
38,"National Highway 38 (Vadodara, Gujarat)",National Highway,Gujarat,Vadodara,21.493976,68.65237,436.11,1274,2022-06-22,2025-12-09,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.4896,medium,132,0,0.2552,0.2136,120,0,False,0,False,0.8689,33,5,True,True,0.3975,15,54,0,0.2643
39,"Rural Road 39 (Sangareddy, Telangana)",Rural Road,Telangana,Sangareddy,16.439081,80.079798,224.62,2463,2023-06-12,2026-01-20,Completed,Planning,SYNTHETIC_DEMO,0.0852,low,262,75,1,0.8302,11,21,True,1,False,0.576,47,6,True,True,0.5312,77,43,0.7925,0.185
40,"SC Mission 40 (Nashik, Maharashtra)",Smart City,Maharashtra,Nashik,16.430265,76.189199,451.1,4487,2022-04-22,2024-09-23,Objection Hearing,Completed,SYNTHETIC_DEMO,0.6238,medium,0,0,0.3669,0.3302,40,0,False,0,False,0.4443,120,5,True,False,0.2992,59,44,0,0.225
41,"Smart City 41 (Tiruppur, Tamil Nadu)",Smart City,Tamil Nadu,Tiruppur,11.145575,78.586654,285.13,411,2022-10-25,2027-09-26,Rehabilitation,Planning,SYNTHETIC_DEMO,0.2212,low,332,0,0.7794,0.7396,127,0,False,0,False,0.8997,115,4,True,False,0.2301,50,14,0.6366,0.4104
42,"SH 42 (Bhavnagar, Gujarat)",State Highway,Gujarat,Bhavnagar,20.15014,70.371598,70.42,4428,2020-03-07,2021-12-01,SIA Initiated,On Hold,SYNTHETIC_DEMO,0.2866,low,122,0,0.0819,0.0654,135,0,False,0,False,0.7011,34,2,False,True,0.8247,66,51,0,0.2476
43,"PMGSY 43 (Jaipur, Rajasthan)",Rural Road,Rajasthan,Jaipur,24.579303,75.586914,11.89,4405,2020-11-28,2025-09-09,SIA Approved,In Progress,SYNTHETIC_DEMO,0.3262,low,436,225,0.2185,0.2056,116,0,False,0,False,0.6212,95,10,True,True,0.381,86,60,0,0.2857
44,"National Highway 44 (Bulandshahr, Uttar Pradesh)",National Highway,Uttar Pradesh,Bulandshahr,25.438887,77.474128,62.48,1933,2021-02-26,2024-10-03,Completed,On Hold,SYNTHETIC_DEMO,0.1746,low,339,22,1,0.735,34,25,True,4,True,0.6226,95,8,True,True,0.7423,24,56,0.4149,0.1495
45,"SC Mission 45 (West Godavari, Andhra Pradesh)",Smart City,Andhra Pradesh,West Godavari,14.020888,80.057567,34.97,2270,2020-04-26,2022-08-22,Award Declaration,Planning,SYNTHETIC_DEMO,0.4571,medium,401,173,0.4199,0.3803,31,0,False,0,False,0.9694,105,7,True,True,0.2121,86,38,0,0.5855
46,"Metro 46 (Mysuru, Karnataka)",Metro Rail,Karnataka,Mysuru,14.904362,76.493935,142.25,1195,2020-12-05,2025-03-19,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.2616,low,251,38,0.3126,0.2407,138,0,False,0,False,0.5504,22,1,True,True,0.0258,6,22,0,0.495
47,"Industrial Corridor 47 (Hapur, Uttar Pradesh)",Industrial Corridor,Uttar Pradesh,Hapur,24.823931,80.157204,228.74,1824,2020-05-27,2022-01-14,SIA Initiated,In Progress,SYNTHETIC_DEMO,0.1296,low,95,0,0,0,11,0,False,0,False,0.8363,116,10,False,True,0.458,8,3,0,0.5993
48,"State Highway 48 (Yadadri Bhuvanagiri, Telangana)",State Highway,Telangana,Yadadri Bhuvanagiri,15.823162,79.737338,193.55,4903,2021-02-09,2022-06-23,Rehabilitation,Completed,SYNTHETIC_DEMO,0.172,low,0,0,0.8002,0.71,135,0,False,0,False,0.5769,64,9,True,True,0.7931,19,54,0.6547,0.5389
49,"Rural Road 49 (Bulandshahr, Uttar Pradesh)",Rural Road,Uttar Pradesh,Bulandshahr,26.947743,80.119922,344.98,3895,2022-07-17,2024-01-27,Objection Hearing,Completed,SYNTHETIC_DEMO,0.4517,medium,0,0,0.3375,0.2679,17,0,False,0,False,0.4547,10,1,True,True,0.7446,52,51,0,0.1651
50,"Urban Infra 50 (Tumakuru, Karnataka)",Urban Infrastructure,Karnataka,Tumakuru,13.43783,77.931233,81.59,3960,2021-06-16,2024-10-29,Completed,On Hold,SYNTHETIC_DEMO,0.101,low,82,0,1,0.8801,27,0,False,0,False,0.6101,71,5,True,True,0.2786,33,51,0.4291,0.3805
51,"Expressway 51 (Tumakuru, Karnataka)",Expressway,Karnataka,Tumakuru,14.668433,78.146919,75.23,261,2021-06-24,2024-06-11,SIA Initiated,In Progress,SYNTHETIC_DEMO,0.132,low,36,0,0,0,135,0,False,0,False,0.5291,53,7,False,True,0.3701,46,49,0,0.5707
52,"Railway 52 (Thane, Maharashtra)",Railway Line,Maharashtra,Thane,16.03028,76.044904,175.86,918,2020-11-01,2024-03-18,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.2149,low,527,275,0.2714,0.2237,173,0,False,0,False,0.8071,62,8,True,True,0.0454,55,38,0,0.1274
53,"Metro Rail 53 (Gautam Buddha Nagar, Uttar Pradesh)",Metro Rail,Uttar Pradesh,Gautam Buddha Nagar,24.779898,80.73039,40.68,356,2021-01-24,2024-06-23,Notification u/s 11,On Hold,SYNTHETIC_DEMO,0.2868,low,209,0,0.1758,0.1512,4,0,False,0,False,0.6759,9,5,True,True,0.5734,86,26,0,0.2448
54,"Ind Corridor 54 (Rangareddy, Telangana)",Industrial Corridor,Telangana,Rangareddy,18.25844,78.628337,435.91,2791,2023-09-29,2027-03-11,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.338,low,138,0,0.1987,0.1742,85,0,False,0,False,0.8675,9,8,True,True,0.5306,29,57,0,0.4881
55,"Rail Line 55 (Sikar, Rajasthan)",Railway Line,Rajasthan,Sikar,24.380903,74.921591,342.16,4634,2022-08-04,2027-04-07,Objection Hearing,Planning,SYNTHETIC_DEMO,0.3939,low,107,0,0.3104,0.2893,162,0,False,0,False,0.9919,41,10,True,True,0.4398,65,28,0,0.4157
56,"National Highway 56 (Namakkal, Tamil Nadu)",National Highway,Tamil Nadu,Namakkal,10.539584,76.169233,234.04,4550,2022-06-08,2025-07-02,Compensation Disbursement,Cancelled,SYNTHETIC_DEMO,0.4723,medium,323,133,0.5403,0.5183,115,0,False,0,False,0.9454,73,10,True,True,0.605,69,9,0,0.5789
57,"Ind Corridor 57 (Visakhapatnam, Andhra Pradesh)",Industrial Corridor,Andhra Pradesh,Visakhapatnam,12.773995,82.160974,196.77,2781,2020-09-06,2024-02-22,SIA Approved,Cancelled,SYNTHETIC_DEMO,0.2938,low,566,213,0.1295,0.0969,153,0,False,0,False,0.4314,80,10,True,True,0.3297,76,43,0,0.2933
58,"Port Connectivity 58 (Karur, Tamil Nadu)",Port Connectivity,Tamil Nadu,Karur,11.649867,80.125359,158.24,3095,2022-11-30,2025-08-26,Notification u/s 11,On Hold,SYNTHETIC_DEMO,0.2245,low,701,357,0.2897,0.2369,84,0,False,0,False,0.8879,85,10,True,False,0.0935,90,27,0,0.3542
59,"Expressway 59 (Mysuru, Karnataka)",Expressway,Karnataka,Mysuru,14.681547,74.864024,332.65,1083,2020-08-26,2022-06-03,Notification u/s 11,In Progress,SYNTHETIC_DEMO,0.3025,low,188,0,0.1654,0.1577,96,10,True,2,False,0.5085,88,9,True,False,0.1655,61,2,0,0.3054
60,"Port Link 60 (Bulandshahr, Uttar Pradesh)",Port Connectivity,Uttar Pradesh,Bulandshahr,25.554595,84.241975,233.53,2318,2021-07-08,2025-02-22,Award Declaration,Completed,SYNTHETIC_DEMO,0.3202,low,0,0,0.5808,0.4404,97,0,False,0,False,0.7017,53,2,True,False,0.8013,22,55,0,0.225
61,"Urban Infra 61 (Srikakulam, Andhra Pradesh)",Urban Infrastructure,Andhra Pradesh,Srikakulam,14.495441,82.604935,409.27,2873,2023-12-15,2026-06-25,SIA Approved,Cancelled,SYNTHETIC_DEMO,0.3553,low,490,304,0.2061,0.1534,106,0,False,0,False,0.432,64,5,True,True,0.9945,52,14,0,0.1141
62,"Industrial Corridor 62 (Ahmednagar, Maharashtra)",Industrial Corridor,Maharashtra,Ahmednagar,21.463075,76.279639,276.66,4997,2022-07-23,2024-05-02,Notification u/s 11,In Progress,SYNTHETIC_DEMO,0.2115,low,510,195,0.2397,0.1682,108,8,True,3,True,0.5426,15,0,True,True,0.639,84,29,0,0.1314
63,"Urban Infra 63 (West Godavari, Andhra Pradesh)",Urban Infrastructure,Andhra Pradesh,West Godavari,17.52981,78.830176,264.12,2964,2022-03-24,2023-03-27,SIA Initiated,Cancelled,SYNTHETIC_DEMO,0.2225,low,659,462,0,0,134,0,False,0,False,0.7264,100,8,False,True,0.3905,65,2,0,0.4178
64,"NH 64 (Ajmer, Rajasthan)",National Highway,Rajasthan,Ajmer,28.130587,75.154313,416.04,3816,2022-09-26,2026-12-30,Compensation Disbursement,Planning,SYNTHETIC_DEMO,0.5534,medium,370,12,0.5517,0.4445,122,0,False,0,False,0.779,103,2,True,True,0.7762,63,2,0,0.2467
65,"NH 65 (Bengaluru Urban, Karnataka)",National Highway,Karnataka,Bengaluru Urban,15.461929,76.443638,433.57,2729,2023-05-15,2025-10-14,Compensation Disbursement,On Hold,SYNTHETIC_DEMO,0.6046,medium,67,0,0.6757,0.5117,31,0,False,0,False,0.8796,55,6,True,False,0.8946,54,21,0,0.5869
66,"Rural Road 66 (Krishna, Andhra Pradesh)",Rural Road,Andhra Pradesh,Krishna,13.078281,79.895997,44.63,2431,2023-02-06,2026-07-06,Compensation Disbursement,Cancelled,SYNTHETIC_DEMO,0.53,medium,646,388,0.724,0.546,114,0,False,0,False,0.7616,54,2,True,True,0.3515,10,46,0,0.535
67,"SC Mission 67 (Dausa, Rajasthan)",Smart City,Rajasthan,Dausa,27.462588,72.7698,22.23,560,2020-11-30,2025-09-21,Award Declaration,Planning,SYNTHETIC_DEMO,0.2725,low,193,0,0.5906,0.4387,165,0,False,0,False,0.6198,49,9,True,True,0.1534,62,60,0,0.2855
68,"Port Connectivity 68 (Visakhapatnam, Andhra Pradesh)",Port Connectivity,Andhra Pradesh,Visakhapatnam,14.700698,78.729518,134.58,2142,2020-02-16,2021-10-05,Notification u/s 11,Cancelled,SYNTHETIC_DEMO,0.3101,low,56,0,0.2971,0.2525,114,0,False,0,False,0.5287,78,4,True,True,0.9986,30,7,0,0.1679
69,"Rail Line 69 (Pune, Maharashtra)",Railway Line,Maharashtra,Pune,21.789148,80.392597,426.42,1436,2021-04-05,2026-01-01,Rehabilitation,Planning,SYNTHETIC_DEMO,0.3932,low,385,113,0.9169,0.7931,130,0,False,0,False,0.5345,25,2,True,True,0.494,51,35,0.5723,0.3337
70,"SH 70 (Rajkot, Gujarat)",State Highway,Gujarat,Rajkot,23.226201,71.111323,227.74,4248,2021-01-25,2024-05-15,SIA Approved,On Hold,SYNTHETIC_DEMO,0.2194,low,449,181,0.1897,0.137,32,0,False,0,False,0.9268,99,8,True,True,0.182,21,27,0,0.3514
71,"City Infra 71 (Bengaluru Rural, Karnataka)",Urban Infrastructure,Karnataka,Bengaluru Rural,13.129313,77.191995,66.96,2490,2020-11-04,2023-10-13,Notification u/s 11,On Hold,SYNTHETIC_DEMO,0.2494,low,561,224,0.329,0.3138,136,0,False,0,False,0.4561,82,2,True,True,0.5806,26,42,0,0.4122
72,"National Highway 72 (Dausa, Rajasthan)",National Highway,Rajasthan,Dausa,27.490176,74.690941,445.05,4479,2023-10-08,2028-06-01,SIA Initiated,Planning,SYNTHETIC_DEMO,0.0636,low,245,0,0.0534,0.044,164,0,False,0,False,0.974,61,3,False,False,0.685,43,29,0,0.1365
73,"Rural Road 73 (Bengaluru Urban, Karnataka)",Rural Road,Karnataka,Bengaluru Urban,13.190674,74.646509,381.53,4228,2023-07-03,2026-04-16,Possession Handover,Completed,SYNTHETIC_DEMO,0.4393,medium,0,0,0.7968,0.7636,143,0,False,0,False,0.4637,30,7,True,True,0.4496,23,6,0.0506,0.5727
74,"Rail Line 74 (Medchal-Malkajgiri, Telangana)",Railway Line,Telangana,Medchal-Malkajgiri,16.259336,77.717041,483.51,1772,2021-04-04,2025-02-21,Compensation Disbursement,Cancelled,SYNTHETIC_DEMO,0.6663,medium,508,179,0.6248,0.4952,90,4,True,1,False,0.5688,76,10,True,True,0.2857,6,54,0,0.1537
75,"Ind Corridor 75 (Surat, Gujarat)",Industrial Corridor,Gujarat,Surat,20.23021,71.65181,413.53,983,2022-08-14,2025-08-25,Possession Handover,On Hold,SYNTHETIC_DEMO,0.3136,low,596,384,0.7077,0.5774,24,0,False,0,False,0.6363,101,5,True,True,0.3656,23,12,0.6025,0.3007
76,"National Highway 76 (Bengaluru Rural, Karnataka)",National Highway,Karnataka,Bengaluru Rural,13.817664,74.670233,298.89,4165,2021-07-31,2025-06-20,Notification u/s 11,On Hold,SYNTHETIC_DEMO,0.4412,medium,173,0,0.2156,0.1906,136,0,False,0,False,0.6939,72,4,True,True,0.0166,47,43,0,0.1548
77,"E-way 77 (Medak, Telangana)",Expressway,Telangana,Medak,19.368283,80.523068,78.15,1994,2023-08-28,2027-11-24,SIA Initiated,Cancelled,SYNTHETIC_DEMO,0.1924,low,621,433,0,0,146,0,False,0,False,0.9689,14,3,False,True,0.3137,24,26,0,0.4453
78,"Port Link 78 (Medak, Telangana)",Port Connectivity,Telangana,Medak,17.574733,79.52399,275.41,2175,2021-10-31,2026-07-18,Rehabilitation,Planning,SYNTHETIC_DEMO,0.3617,low,519,183,0.8801,0.6989,123,0,False,0,False,0.5154,31,4,True,True,0.2249,43,49,0.289,0.2036
79,"PMGSY 79 (Srikakulam, Andhra Pradesh)",Rural Road,Andhra Pradesh,Srikakulam,18.067837,78.68766,477.53,1209,2021-01-21,2022-09-27,Compensation Disbursement,Cancelled,SYNTHETIC_DEMO,0.7301,high,617,363,0.6603,0.5374,10,0,False,0,False,0.5726,91,1,True,True,0.4424,37,47,0,0.3395
80,"Expressway 80 (Hapur, Uttar Pradesh)",Expressway,Uttar Pradesh,Hapur,28.001901,81.401229,54.6,2715,2020-12-26,2023-05-06,Completed,On Hold,SYNTHETIC_DEMO,0.01,low,81,0,1,0.8593,120,0,False,0,False,0.4603,98,2,True,True,0.5504,25,26,0.6529,0.5403
81,"Metro 81 (East Godavari, Andhra Pradesh)",Metro Rail,Andhra Pradesh,East Godavari,12.914138,82.6498,457.05,1444,2022-03-30,2026-11-24,Award Declaration,On Hold,SYNTHETIC_DEMO,0.3356,low,617,331,0.4464,0.4114,45,0,False,0,False,0.9604,4,6,True,False,0.1863,42,56,0,0.1187
82,"Port Connectivity 82 (Namakkal, Tamil Nadu)",Port Connectivity,Tamil Nadu,Namakkal,13.440047,78.444852,168.69,3769,2021-01-18,2024-10-25,SIA Approved,On Hold,SYNTHETIC_DEMO,0.1854,low,167,0,0.1952,0.1641,65,0,False,0,False,0.8312,1,5,True,False,0.5678,29,11,0,0.4055
